"동부","계","75세 이상",1275594,32248,271841,862729,146745,701091,14893,108776,0
"동부","남자","합계",19091033,1303501,6203146,11378714,2353191,9002990,22533,205672,0
"동부","남자","0~4세",953999,427007,344211,175795,68324,107423,48,6986,0
"동부","남자","5~9세",1037627,179028,541519,308784,114458,193988,338,8296,0
"동부","남자","10~14세",1392842,160492,739603,486148,167694,317858,596,6599,0
"동부","남자","15~19세",1474146,119731,741835,607077,190346,413714,3017,5503,0
"동부","남자","20~24세",1018005,50966,427338,534228,138276,393218,2734,5473,0
"동부","남자","25~29세",1524141,58933,573258,885196,212605,670382,2209,6754,0
"동부","남자","30~34세",1584644,43315,509728,1024318,221887,801247,1184,7283,0
"동부","남자","35~39세",1726796,40853,491970,1186323,232959,952380,984,7650,0
"동부","남자","40~44세",1731122,44001,426693,1253919,223733,1028977,1209,6509,0
"동부","남자","45~49세",1694600,47859,373257,1267934,212638,1053961,1335,5550,0
"동부","남자","50~54세",1549909,41723,338199,1165872,191271,973084,1517,4115,0
"동부","남자","55~59세",1088130,25740,230187,828492,127982,699352,1158,3711,0
"동부","남자","60~64세",814277,19692,166303,612858,91330,520583,945,15424,0
"동부","남자","65~69세",614709,15411,120362,442089,64154,376945,990,36847,0
"동부","남자","70~74세",457582,14142,91258,322450,49891,271375,1184,29732,0
"동부","남자","75세 이상",428504,14608,87425,277231,45643,228503,3085,49240,0
"동부","여자","합계",19875236,1155523,6059395,12343214,2500155,9818600,24459,317104,0
"동부","여자","0~4세",887035,397964,319520,163074,63313,99715,46,6477,0
"동부","여자","5~9세",954809,166116,493355,287543,105463,181807,273,7795,0
"동부","여자","10~14세",1277244,142387,671708,457224,155810,300939,475,5925,0
"동부","여자","15~19세",1371761,102894,674592,586542,181189,403062,2291,7733,0
"동부","여자","20~24세",1273137,55109,511516,685287,174326,508953,2008,21225,0
"동부","여자","25~29세",1546865,45897,551820,925960,219289,705849,822,23188,0
"동부","여자","30~34세",1593406,33445,478778,1059448,227816,831225,407,21735,0
"동부","여자","35~39세",1761771,34350,470542,1233678,242080,991243,355,23201,0
"동부","여자","40~44세",1781417,41156,401422,1319767,230636,1088589,542,19072,0
"동부","여자","45~49세",1733391,35618,346258,1336440,220349,1115475,616,15075,0
"동부","여자","50~54세",1586182,28896,315278,1230937,199700,1030501,736,11071,0
"동부","여자","55~59세",1126698,17417,221636,880384,133811,745949,624,7261,0
"동부","여자","60~64세",861335,13356,166236,665489,98855,566023,611,16254,0
"동부","여자","65~69세",693549,12455,134891,509148,77996,430198,954,37055,0
"동부","여자","70~74세",579546,10823,117427,416795,68420,346484,1891,34501,0
"동부","여자","75세 이상",847090,17640,184416,585498,101102,472588,11808,59536,0
"읍부","계","합계",4104580,435971,1547751,2070373,602829,1460333,7211,50485,0
"읍부","계","0~4세",233896,104635,68613,59600,25259,34339,2,1048,0
"읍부","계","5~9세",243339,51691,101366,89384,35013,54323,48,898,0
"읍부","계","10~14세",291543,49981,126782,113985,41394,72491,100,795,0
"읍부","계","15~19세",276582,33047,113224,129409,39189,88793,1427,902,0
"읍부","계","20~24세",177397,16101,58134,99100,25603,72634,863,4062,0
"읍부","계","25~29세",245799,18702,79235,143333,37369,105395,569,4529,0
"읍부","계","30~34세",313315,16199,94662,198535,49658,148541,336,3919,0
"읍부","계","35~39세",369379,17017,114334,234922,58857,175826,239,3106,0
"읍부","계","40~44세",352828,19076,112391,218778,55239,163251,288,2583,0
"읍부","계","45~49세",330921,19245,115061,194580,52066,142229,285,2035,0
"읍부","계","50~54세",298106,17696,109898,169363,47451,121550,362,1149,0
"읍부","계","55~59세",223230,13590,92814,116056,33851,81906,299,770,0
"읍부","계","60~64세",188866,13333,81179,91538,27104,64213,221,2816,0
"읍부","계","65~69세",170327,12565,78393,72900,23294,49332,274,6469,0
"읍부","계","70~74세",163400,14151,80306,62849,22397,40109,343,6094,0
"읍부","계","75세 이상",225652,18942,121359,76041,29085,45401,1555,9310,0
"읍부","남자","합계",2031255,263321,774311,977025,280653,692782,3590,16598,0
"읍부","남자","0~4세",120949,54721,34412,31303,13208,18093,2,513,0
"읍부","남자","5~9세",126886,27274,52498,46728,18775,27927,26,386,0
"읍부","남자","10~14세",151382,27051,65769,58184,21330,36797,57,378,0
"읍부","남자","15~19세",143419,17882,60890,64385,19497,44141,747,262,0
"읍부","남자","20~24세",83295,8213,29032,45697,11474,33836,387,353,0
"읍부","남자","25~29세",124417,11142,41481,71216,17899,52993,324,578,0
"읍부","남자","30~34세",156195,10215,49647,95655,24006,71384,265,678,0
"읍부","남자","35~39세",190459,11233,62784,116012,29647,86198,167,430,0
"읍부","남자","40~44세",186346,13164,64951,107828,27724,79908,196,403,0
"읍부","남자","45~49세",174138,14188,65853,93704,25426,68088,190,393,0
"읍부","남자","50~54세",153538,13939,60202,79178,22248,56686,244,219,0
"읍부","남자","55~59세",110079,10524,47019,52249,14780,37267,202,287,0
"읍부","남자","60~64세",90764,10744,38733,39931,10773,29021,137,1356,0
"읍부","남자","65~69세",75747,9594,33635,29347,8581,20607,159,3171,0
"읍부","남자","70~74세",68363,10766,31167,23472,7662,15657,153,2958,0
"읍부","남자","75세 이상",75278,12671,36238,22136,7623,14179,334,4233,0
"읍부","여자","합계",2073325,172650,773440,1093348,322176,767551,3621,33887,0
"읍부","여자","0~4세",112947,49914,34201,28297,12051,16246,0,535,0
"읍부","여자","5~9세",116453,24417,48868,42656,16238,26396,22,512,0
"읍부","여자","10~14세",140161,22930,61013,55801,20064,35694,43,417,0
"읍부","여자","15~19세",133163,15165,52334,65024,19692,44652,680,640,0
"읍부","여자","20~24세",94102,7888,29102,53403,14129,38798,476,3709,0
"읍부","여자","25~29세",121382,7560,37754,72117,19470,52402,245,3951,0
"읍부","여자","30~34세",157120,5984,45015,102880,25652,77157,71,3241,0
"읍부","여자","35~39세",178920,5784,51550,118910,29210,89628,72,2676,0
"읍부","여자","40~44세",166482,5912,47440,110950,27515,83343,92,2180,0
"읍부","여자","45~49세",156783,5057,49208,100876,26640,74141,95,1642,0
"읍부","여자","50~54세",144568,3757,49696,90185,25203,64864,118,930,0
"읍부","여자","55~59세",113151,3066,45795,63807,19071,44639,97,483,0
"읍부","여자","60~64세",98102,2589,42446,51607,16331,35192,84,1460,0
"읍부","여자","65~69세",94580,2971,44758,43553,14713,28725,115,3298,0
"읍부","여자","70~74세",95037,3385,49139,39377,14735,24452,190,3136,0
"읍부","여자","75세 이상",150374,6271,85121,53905,21462,31222,1221,5077,0
"면부","계","합계",4414540,819264,1746472,1782768,606644,1159570,16554,66036,0
"면부","계","0~4세",147228,75950,33561,37023,13676,23336,11,694,0
"면부","계","5~9세",161163,51698,50319,58541,21990,36480,71,605,0
"면부","계","10~14세",213132,63509,68938,80149,27811,52171,167,536,0
"면부","계","15~19세",221298,49044,63785,107216,29930,75312,1974,1253,0
"면부","계","20~24세",167235,33182,40865,86254,17617,67256,1381,6934,0
